"date","city","state","shape","duration","summary","posted"
"10/15/15 22:45","Jönköping (Sweden)",NA,"Sphere","6 minutes","10 flying object on the same level as the stars.","10/16/15"
"10/13/15 19:50","Nelson (New Zealand)",NA,"Other","1 minute","3 weird flying things fly over the sea in front of us.","10/16/15"
"10/13/15 00:55","Broomfield",NA,"","2-5 seconds","Multiple lights 12-15 in a v shape flying very fast at a high altitude at 00:55 Mtn std time. 100% sure I witness something.","10/16/15"
"10/9/15 17:30","Cavite (Philippines)",NA,"Oval","10 seconds","The object is big.","10/16/15"
"10/9/15","Stroud (UK/England)",NA,"Disk","10","Massive spaceship appeared from nowhere in sky!?!.","10/9/15"
"10/8/15 22:00","((Unspecified by witness))",NA,"Cylinder","40 seconds","I saw a bright green cylinder shape craft with bright red lights. It was hovering in the night sky. Then jotted forward and hovered.","10/9/15"
"10/8/15 21:00","Rahim Yar Khan (Pakistan)",NA,"Flash","30 minutes","Just see moving light on sky. Coming from surface to sky. I think it has been seen throughout country. It was moving slowly from south.","10/9/15"
"10/8/15 18:10","Dhaka (Bangladesh)",NA,"Circle","30 seconds","Couple of pictrues were taken of the street view of a busy shopping area of Dhaka, Bangladesh by a Samsung mobile phone from the roofto","10/16/15"
"10/7/15 18:50","Molde (Norway)",NA,"Oval","80 minutes","UFO filmed At Fish Farm In Molde, Norway – 7 October, 2015. ((NUFORC Note: Video shows light on other side of water. PD))","10/16/15"
"10/6/15 20:05","County Meath Kells (Ireland)",NA,"Light","20 minutes","my mum called me to record as she couldnt leave the window and her camera battery was dead. she saw 10 + lights slowly and silently ris","10/9/15"
"10/1/15 19:00","Hull (East Yorkshire) (UK/England)",NA,"Light","10 minutes","Three fast moving, erratic, red lights in the night sky.","10/2/15"
"9/30/15 19:25","Birmingham (UK/England)",NA,"Sphere","1935","I was on the way to work walkinguohurst lane north I saw an orange fire in the sky a bal of fire like a charriot then others followed i","10/2/15"
"9/29/15 21:00","Dettighofen (Germany)",NA,"Fireball","15 seconds","Small craft eject from fire ball falling.","10/2/15"
"9/29/15 04:25","Ampthill (UK/England)",NA,"Changing",">3 hours","I have seen this same ufo light nearly every morning for over 10 weeks. ((NUFORC Note: Venus? PD))","10/2/15"
"9/28/15 04:52","London (Ealing Broadway)(UK/England)",NA,"Chevron","1 minute","Firstly... Hi Peter, I feel like I know you as I listen to you chatting to George Noory on C2C. First time I have a reason to communica","9/29/15"
"9/27/15 22:55","Montevideo (Uruguay)",NA,"Oval","10 seconds","3 GRAY CRAFTS SEEN BY 4 PEOPLE IN MONTEVIDEO, URUGUAY.","9/29/15"
"9/26/15 02:00","Kerman (Iran)",NA,"Circle","5 seconds","Red Light/Kerman, Iran.","9/29/15"
"9/25/15 20:35","Noida (India)",NA,"Sphere","10 minute","When we walking on the road,We have seen blue color objects in the sky in Noida , Uttar Pradesh (India)-201301 for 10 minutes.","9/29/15"
"9/25/15 04:00","Wilmington",NA,"","2 minutes","Around 4:30 am, saw 3 flashes of blue light, approximately 10 seconds apart. I thought perhaps a transformer blew.","9/29/15"
"9/25/15 02:00","Mysore (India)",NA,"Unknown","1 second","A sound of lightning speed, 2 feet tall, red color, fully haired man.","10/9/15"
"9/24/15 22:10","Kuala Lumpur (Malaysia)",NA,"Circle","5 minutes","Bright blue stationary light, changed to red and disappeared.","9/25/15"
"9/24/15 19:30","New Delhi (India)",NA,"Light","5-7 minutes","We 2 friends witnessed That was 6-7 blinking blue lights with some distance in each other,passing north to south,I made a video too, bu","9/25/15"
"9/23/15 00:00","Mansfield (UK/England)",NA,"Changing","5 hours","100's of ufos!!!!! Different shapes sizes and colours.","9/29/15"
"9/20/15 21:10","Benson (UK/England)",NA,"Light","10 seconds","2 bright lights following each other North over Oxfordshire, England.","9/25/15"
"9/19/15 23:00","Falun",NA,"Fireball","1-2 hours","flashing light with changing colours.","10/2/15"
"9/19/15 04:15","Santa Rosa (Laguna)(Philippines)",NA,"Triangle","40 seconds","Transparent triangular-like flying object without light seen","9/25/15"
"9/17/15 23:51","Grafton",NA,"","5 minutes","((NUFORC Note: No information provided by witness. PD))","9/25/15"
"9/15/15 19:04","Bahawalpur (Pakistan)",NA,"Circle","4 minutes","Blue/red lights seen blinking over Bahawalpur, Pakistan","9/17/15"
"9/12/15 15:00","Guatemala",NA,"Egg","1-2 minute","I saw an object flying a little higher than a bird, it was black shaped like an egg or bean.. it had two small promotories in the sides","9/17/15"
"9/6/15 07:42","Yellowstone National Park (near west entrance)",NA,"Oval","1 minute or less","1 orb 4 photos with 2 cameras in the daylight moving. ((NUFORC Note: Objects are lens flares, caused by the Sun. PD))","9/11/15"
"8/30/15 03:00","Langebaan (South Africa)",NA,"Light","long","Awoke and saw a horizontal pillar of light ending in garden. couldn't see how high it went. First thought it was a reflection from ne","9/25/15"
"8/27/15 22:30","Differdange (Luxemburg)",NA,"Sphere","4-5 minutes","Unidentified sphere over Differdange, Luxemburg.","9/2/15"
"8/27/15 19:00","Burdur (Turkey)",NA,"Unknown","","Just the photo… ((NUFORC Note: We cannot positively identify the anomalous object in the photo. Possible bird? D))","9/2/15"
"8/26/15 19:30","Kolenchery (India)",NA,"Light","","A light travelling and bursting.","9/2/15"
"8/20/15 12:13","Dubai (United Arab Emirates)",NA,"Circle","4-5 seconds","Second sighting of a thick shadow passing by the same route.","8/27/15"
"8/17/15 21:30","Athens (Greece)",NA,"Light","15 minutes","Was stargazing on the balcony when a weird white light caught my eye. The light,spherical in nature was moving across the sky eastwards","8/27/15"
"8/13/15 00:40","Scunthorpe (UK/England)",NA,"Circle","4-5 seconds","Spherical object silently and rapidly transited the sky, stopped for a few seconds, then blinked out.","8/13/15"
"8/12/15 22:30","Com/Lugano (between) (Italy)",NA,"Light","2 minutes","No sat, not shooting star, Chinese candles, no airplane.","10/9/15"
"8/12/15 21:25","Birmigham (UK/England)",NA,"Oval","1 minute","2 brown/red objects in the sky seemingly chasing one another.","9/2/15"
"8/12/15 20:00","Rosendale (UK/England)",NA,"Unknown","Face to face with being","Face to face with two beings but no UFO craft signing or anything.","8/27/15"
"8/11/15 23:46","Manchester (UK/England)",NA,"Triangle","5 minutes","Three red lights triangle craft.","8/13/15"
"8/11/15 00:00","Middlesbrough (UK/England)",NA,"Light","in the sky","Was calling my cat in clear sky could she all the stars a flying light was very fast could clearly see a white light flash flew across.","8/13/15"
"8/9/15 20:30","Vellore/Hyderabad/Bangalore",NA,"Circle","2 hours","Circular, oscillating Lights at Vellore","8/13/15"
"8/8/15 23:15","Peterborough (Canada)",NA,"Light","10 minutes","Orange-red light, which stopped, became even brighter, and then shot straight up into the night sky.","8/13/15"
"8/7/15 21:00","Marshfield",NA,"Triangle","5-10 minutes","Low flying black triangle.","8/27/15"
"7/30/15 21:50","Worcestershire (UK/England)",NA,"Circle","10 minutes","Witnessed two ufos and took photos.","8/6/15"
"7/29/15 02:08","Hinckley (UK/England)",NA,"Circle","5 minutes","A bright white circular object moving rapidly across the sky.","7/31/15"
"7/26/15 13:00","Johannesburg (South Africa)",NA,"Sphere",">5 hours, and continu","Report of 50+ balls of light and 2-3 Massive ships appearing in South Africa, above Johannesburg.","7/31/15"
"7/26/15 00:05","Redhill (UK/England)",NA,"Circle","3minutes","A luminous red sphere with red halo effect hanging still in black night sky; eighth the size of the moon.","7/31/15"
"7/25/15 01:15","Praia da Vitoria (Azores)(Portugal)",NA,"Other","30 seconds","I am a police officer in Portugal, Azores, Terceira Island, in the city of Praia da Vitoria. Tonight i was arriving home from my night","7/31/15"
"7/24/15 23:00","Ensenada (Mexico)",NA,"Light","1-2 minutes","A green light or craft that hovered for about one minute and then shot straight up into the sky. Have pictures.","7/31/15"
"7/24/15 00:44","Banja Luka (Bosnia/Herzegovina)",NA,"Light","4+ hours","Several lights, flashing green, red and blue, appear over Banja Luka at night, later on a whole \"fleet reappears.\"","7/31/15"
"7/23/15","Leicestershire (UK/England)",NA,"Triangle","1 minute","Three anti-gravity triangles. ((NUFORC Note: We wonder whether this is a serious-minded report. PD))","7/23/15"
"7/22/15 00:00","Persian Gulf (at sea)",NA,"Disk","unknown","UFO found in background of photo used in a recent article by the NY Times. ((NUFORC Note: Seagull?? PD))","7/31/15"
"7/20/15 00:00","Lubbock",NA,"","3 seconds","Looking north in Lubbock sky and saw green light fall from sky...","7/23/15"
"7/19/15 19:55","Melton Mowbray (UK/England)",NA,"Oval","5 minutes","Orange cloud hides object in sky.","7/31/15"
"7/19/15 15:30","Fife (UK/Scotland)",NA,"Oval","6 minutes","Whilst at the local Knockhill Racing Circuit (Fife, Scotland) we noted a set of strange lights in the distance that appeared to be stat","7/23/15"
"7/19/15 11:15","Lebanon",NA,"Disk","Few seconds","Flying saucer/black disk shape/Lebanon/middle east /mountains.","7/23/15"
"7/17/15 11:15","Hanson",NA,"Light","2 minutes","Bright light travelling along a line of clouds, stopping and going at high speeds.","7/23/15"
"7/16/15 18:00","Salta",NA,"Light","1 minuto","Tengo 3 fotos y un video que quisiera que analicen, es muy rara la luz que aparece. Ocurrio al atardecer al filmar a mi hija con su bar","7/23/15"
"7/13/15 04:30","Multan (Pakistan)",NA,"Fireball","10 minutes","((HOAX??)) An red light-emitting star-like object moving in various direction and disappeared.","7/17/15"
"7/13/15 02:00","Inarajan (Guam)",NA,"Light","","Orange glowing light in sky that responded to my flashing light.","7/17/15"
"7/12/15 18:00","Lebanon (Middle East??)",NA,"Disk","few seconds","((HOAX??)) Photographing/circular disk/flying /sky.","7/17/15"
"7/11/15 11:45","Grays (Essex)(UK/England)",NA,"Circle","","Strange orb with lights in the sky. ((NUFORC Note: Probably a lens flare, we suspect. PD))","7/17/15"
"7/9/15 22:00","Addaia (Menorca)",NA,"Circle","on going","At first we thought the light was an aircraft..
        
        Then we noticed it didn't move,so thought it was the North star,it wasn't! Then on","7/10/15"
"7/9/15 02:18","Edgbaston (Birmingham)(UK/England)",NA,"Rectangle","4 minutes","Dark black craft pouring hot heat trumpet noises no lights and around 30 foot long wide.","7/17/15"
"7/7/15 11:20","Lisburn (Northern Ireland)",NA,"Unknown","3 minutes","Flying in formation at around 2000ft. Managed to film for about a minute on phone.","7/10/15"
"7/5/15 23:30","Birmingham (UK/England)k",NA,"Light","30 minutes","Red green white lights flashing very bright moving in formation two touched and seemed to bounce off each other hovering","7/6/15"
"7/4/15 22:13","Forte dei Marmi (Italy)",NA,"Sphere","10 minutes","Fireball 10 minutes - 1 round fireball flew along the beach before the International festival.","8/27/15"
"7/4/15 21:30","Orchard Park",NA,"","~30 minutes","We went to see fireworks here and in town but we're distracted by a stationary green and blinking red large ufo in the sky just south o","7/10/15"
"7/2/15 22:40","Ahmedabad (India)",NA,"Sphere","10 seconds","I saw an unidentifiable moving object with red light in between the sphere in the sky.
        
        Due to summer I have decided to take a sleep","7/6/15"
"7/2/15 00:30","Bay of Campeche (Mexico)",NA,"Fireball","4 hours","4 orange stripes in the sky.","7/3/15"
"7/1/15 21:15","Bangalore (India)",NA,"Light","3 seconds","It was light which would be 6-10 time bigger than a star visible to naked eye, could not notice the start, but when I saw it was going","7/3/15"
"7/1/15 13:38","Trimley St. Mary (UK/England)",NA,"Oval","2 minutes","Just sun bathing in my garden looked into the clouds and saw a oval shape moving through the clouds.","7/3/15"
"7/1/15 09:30","Tirupati (India)",NA,"Egg","Unknown","I took a picture with a tablet and this was the outcome.","8/27/15"
"6/29/15 20:20","Haifa (Israel)",NA,"Formation","1 second","Diagonal formation of 3 objects, round shaped, flickering lights","7/3/15"
"6/26/15 23:50","Provinciales (Turks & Caicos)",NA,"Sphere","5 minutes","Glowing red sphere seen over Caribbean Sea.","7/3/15"
"6/24/15 23:10","Chandigarh (India)",NA,"Fireball","3 minutes","Fireball UFO, definite that its not a meteorite or a crashing plane.","7/3/15"
"6/20/15 01:00","Abingdon",NA,"","10 minutes","Never saw an airplane, helicopter or drone for that matter that moved through the sky like this.","7/23/15"
"6/17/15 20:23","Jirighat (India)",NA,"Circle","2 minutes","White light shape circle visible in the sky for a few moment suddenly disappearing from there feeling shocked.","6/19/15"
"6/15/15 21:25","Ghanzi (Botswana)",NA,"Fireball","3 minutes","Second time I have seen the this in 2 years in same place.","6/19/15"
"6/11/15 18:05","Mollymook (Australia)",NA,"Light","5 seconds","Flickering/shimmering point of light moved accross about 30 degrees @ about 18.00-18.05 EST(Australian)","6/15/15"
"6/10/15 03:57","Lisbon (Portugal)",NA,"Light","10 seconds","Bright led like object, straight path, pulsated and changed direction in a 180º V shape movement, left quick trail.","6/15/15"
"6/9/15 23:30","Istanbul (Turkey)",NA,"Sphere","3 minutes","UFO over Blue Mosque and Theodosius Obelisks, Istanbul, Turkey.","6/15/15"
"6/6/15 22:57","Bangor (UK/England)",NA,"Chevron","30 minutes","Delta shaped craft going eastwards, could have been a Chinese satellite out of control/","9/11/15"
"6/5/15 20:30","Folsom",NA,"Sphere","1 minute","Was driving down towards highway 50 right after a lightning storm and noticed these two objects orbiting each other near a break in the","6/15/15"
"6/2/15 19:01","Florianopolis (Brazil)",NA,"Teardrop","2 seconds","Green light going really fast and vanishing seconds later.","6/19/15"
"5/29/15 23:00","Chawton (village)(over farmland) (UK/England)",NA,"Light","35 seconds","Object with/was a row of 4-5 round white or yellow and red lights moving slowly at very low altitude across night sky","6/5/15"
"5/28/15 15:00","Laukaa (Finland)",NA,"Oval","~12 seconds","It rose up from a far away beach, hovered a bit and then disappeared.","5/29/15"
"5/27/15 13:42","Yucatan (Mexico)",NA,"Sphere","Few seconds","Dark sphere traveling fast over the countryside road.","7/23/15"
"5/23/15 13:00","Michelton/Brisbane (Australia)",NA,"Egg","00:30","There was a bean shaped flying object soaring higher than common army jets. In mitchelton brisbane, there are numerous flyinh vehicles.","5/29/15"
"5/21/15 21:00","Idukki (India)",NA,"Circle","30 seconds","It is rotating. It is circular shaped. It contain with lights like LED.It did not make sound or noise.","5/22/15"
"5/21/15 11:00","Santa Barbara",NA,"Rectangle","a moment","I have pictures of 2 flying squares that my wife took on our way to San Francisco to watch my daughter graduating SFSU. I was discardin","8/13/15"
"5/18/15 02:15","Ambernath (India)",NA,"Disk","2 minutes","red and white lights blinking in a row of circle.","5/22/15"
"5/16/15 20:30","Brockman (Australia)",NA,"Sphere","10 minutes","Brighter orange sphere descends from the sky.","5/22/15"
"5/16/15 15:29","Alton (town) (UK/England)",NA,"Other","15-20 seconds","large silver balloon/parachute shaped object decending from sky.","5/22/15"
"5/16/15 06:32","Caracas (Venezuela)",NA,"Oval","None","Oval UFO floats in the sky of Caracas, Venezuela.","5/22/15"
"5/12/15 07:10","Kenosha/Racine (between)",NA,"","","Extremely bright rectangular objects in sky moving north. Clear skies, well lit.","9/11/15"
"5/6/15 22:35","Tehran (Iran)",NA,"Unknown","it's happening","2 UFO, one is closer and it turns yellow red purple ,the one Which is far is red. I'm at home and I still can see them, I always look t","5/8/15"
"5/1/15 00:00","Warrington (Cheshire)(UK/England)",NA,"Triangle","1 minutes","Unusual noise...static feeling in the air; something going in and out of vision.","10/16/15"
"4/29/15 00:00","Barry (Vale of Glamorgan)(UK/Wales)",NA,"Light","night","From what I have seen they are getting bigger.","5/8/15"
"4/29/15","ShangQiu (China)",NA,"Light","30+ minutes","Saw six lights in China behaving strangely which did not seem like any craft I'd experienced before.","5/8/15"
"4/28/15 19:30","Chandigarh (India)",NA,"Light","4-5 minutes","A green light seen in the Chandigarh's sky on 27th April 2015.","4/30/15"
"4/27/15 20:11","Bangalore, Karnataka, India",NA,"Unknown","2-3 minutes","Citing of an UFO traveling from one star to other","4/30/15"
"4/26/15 21:00","Newcastle (Australia)",NA,"Changing","1","((HOAX??)) You don't see something this big in the sky, and no sound; it's like time was still.","4/30/15"
"4/26/15 04:30","Londrina (Brazil)",NA,"Light","7 seconds","Ufo or satellite?","4/30/15"
"4/25/15 17:22","New Plymouth (New Zealand)",NA,"Oval","?","Unusual objects in photograph.","4/30/15"
"4/22/15 23:00","Kalamata (Greece)",NA,"Light","2 hours","Strange UFO lights over the Kalathi - Taýgetos Mountains Kalamata, Greece","4/23/15"
"4/22/15 21:50","Gwalior (India)",NA,"Diamond","6 seconds","The objects were flying very down towards earth (i.e. approx. 50 meter height). Only outline of objects were visible. Outline light o","4/23/15"
"4/22/15 14:30","Laukaa (Finland)",NA,"Oval","~20 seconds","It made weird movemenets and vanished in the blink of an eye.","5/8/15"
"4/19/15 20:10","Las Heras (Argentina)",NA,"","","I'm ((name deleted)) from Argentina a country in the south of america, i no speak english so i read mi see in spanish, please you t","4/23/15"
"4/18/15 20:45","Bornheim (Germany)",NA,"Fireball","3 minutes","Very slow moving glowing circular object at an extreme distance.","4/23/15"
"4/15/15 18:15","Melbourne (Australia)",NA,"Fireball","20 seconds","I saw balls of light shooting across the sky and disappearing then reappearing above Melbourne.","4/17/15"
"4/14/15 21:45","Farwaniyah (Kuwait)",NA,"Disk","3-4 minutes","Round object with red and blue light seen hovering in the sky","4/17/15"
"4/14/15 21:00","Williams Lake (70 miles E of) (Canada)",NA,"","30 seconds","Dear Mr Davenport, I am writing in response to the Kamloops sighting April 2015. ((NUFORC Note: Retraction--Probable satellite. PD))","4/23/15"
"4/13/15 23:00","Jerome",NA,"Changing","2 hours","((HOAX??)) we watched a very bright star appeared over mingus mtn. We went home to get cameras. It was moving and changing colors!!","4/17/15"
"4/13/15 17:00","Dublin (Ireland)",NA,"Triangle","10 seconds","I saw a ufo after a basketball game. Every Saturday,in the winter,I always see ufo. One,flashes coloures ,Two Triangle moving very slow","10/9/15"
"4/12/15 01:30","Stansted (UK/England)",NA,"Triangle","3 minutes","Red, orange and white lights on a triangular craft hovering over Stansted, England.","4/23/15"
"4/10/15 00:00","Port Elizabeth (South Africa)",NA,"Sphere","All night","Advanced spheres with changing lights & morphing abiltys. Seen 4 different types sphere, cigar, morphing & a dark circular disc (orbs)","10/9/15"
"4/8/15 05:00","Jitauna (Brazil)",NA,"Rectangle","2 minutes","This week I saw something unusual, ace 5 am an object in the middle of nowhere next to the highway.","7/10/15"
"4/8/15 00:23","Amritsar (India)",NA,"Light","","I have seen two lights which were running one after one at incredible speed. Near my home a large star appears which usually use to ch","4/8/15"
"4/7/15 23:50","Merritt Island",NA,"Light","5to 6 minutes","Flickering orb. Mostly stationary. Moved down,left,and right periodically. Flashed red,blue,white,and yellow. Seemed to follow A patte","4/17/15"
"4/7/15 06:45","Chengannur (India)",NA,"Circle","1 minute","A white like object.","4/8/15"
"4/4/15 18:45","Punta Cana (Dominican Republic)",NA,"Fireball","10 minutes","First it was like a star that start falling, and it turns into a fireball i was driving so i went to the exact place where i saw it dis","4/8/15"
"4/3/15 20:55","Trivandrum (India)",NA,"Cross","5 minutes","Object moved at a steady speed from one place to enother.","4/3/15"
"4/1/15 12:00","Arabian Sea (India)",NA,"Sphere","30 minutes","Red, Blue, Green flashing UFO sighted over the Arabian Sea by 3 Oil Rig Personnel.","5/8/15"
"3/28/15 22:20","Uttar Pradesh (India)",NA,"Fireball","8 minutes","I was sleeping in my room it was about 22:10pm midnight when i opened my eyes i looked outside the window and i saw a fire ball in the","4/3/15"
"3/26/15 19:15","Chennai (India)",NA,"Cylinder","50 seconds","Saw a red ball of fire and reddish/orange lights in the sky at 19:15 (Chennai).....The lights were vertically and cylindrically shaped.","4/3/15"
"3/22/15 21:00","Lisbon (Portugal)",NA,"Formation","Unknown","Took a photo of a castle in Lisbon, and upon examination of the iphone 5S photo 2 strange light formations can be clearly seen.","3/26/15"
"3/14/15 17:00","Den Helder (Netherlands)",NA,"Cigar","2 minutes","Cigar shaped orange light moved fast and disappeared in Amsterdam, Netherlands.","3/20/15"
"3/12/15 05:00","Fereydunkenar (Iran)",NA,"Fireball","20","Strange fireball has been crashed in the Caspian Sea.","3/13/15"
"3/10/15 06:00","Ban Krut (Thailand)",NA,"Rectangle","10 minutes","Billboard of white light.","4/3/15"
"3/9/15 21:00","Quintana Roo-Playa del Carmen (Mexico)",NA,"Triangle","1 second","It was absolute in its deisgn and movement-purpose. My daughter and I will never forget that evening!","3/20/15"
"3/9/15 19:00","Middlesbrough, Coulby Newham (UK/England)",NA,"Fireball","4 minutes","3 orange lights in triangle formation speeding up and slowing down.","3/13/15"
"3/9/15 15:00","In flight (Phoenix to NYC)",NA,"Other","4 hours","Observing an unusual light in the sky. After a few hours, it flew straight at me and I saw it was a space craft.","3/26/15"
"3/9/15 15:00","?",NA,"Other","4 hours","Observing an unusual light in the sky after a few hours, it flew at me and I saw it was a space craft.","3/20/15"
"3/8/15 21:20","Pretoria (South Africa)",NA,"Diamond","~20 seconds","Diamond-shape craft hovering above fishing resort waters . Pretoria. Hartbeespoort Resort.","3/13/15"
"3/8/15 18:45","Ahmedabad (India)",NA,"Cross","","I was testing the camera of my new mobile and took a photo of my the scene from my terrace and on the first click I got a bird like thi","3/13/15"
"3/6/15 19:38","Durban (South Africa)",NA,"Unknown","4 minutes","3 lights hovering just above the Durban skies in the evening, around 19:30, weird.","3/6/15"
"3/5/15 21:00","Llangollen (UK/Wales)",NA,"Chevron","2 minutes","Huge Chevron Craft Over Welsh Town in UK/Wales.","3/6/15"
"3/5/15 19:30","Bogotá (Colombia)",NA,"Circle","5 segundos","Estaba conduciendo mi auto cuando vi la imagen del OVNI era impresionante así que saque mi celular y le tome una foto.","3/6/15"
"2/28/15 19:25","Gwalior (India)",NA,"Circle","90 minutes","Two lights which were moving in a circular path as if revolving around something seen in India city named Gwalior.","3/6/15"
"2/27/15 10:25","Gosport (UK/England)",NA,"Circle","450 seconds","i was laying on my bed and saw a circle high in sky then four flashes as if in corners around circle but not attatched.then i thought i","3/6/15"
"2/22/15 19:05","Barrow-in-Furness (UK/England)",NA,"Cylinder","10 minutes","I saw a large light with 2 smaller lights either side, it didn't move then it vanished as I walked towards what i saw it reappeared i r","3/6/15"
"2/20/15 08:27","Jeddah (Saudi Arabia)",NA,"Circle","3 seconds","Early morning photo outing, taking photos of buildings with sun behind me. only saw this through the viewfinder for a second Have the R","5/8/15"
"2/18/15 23:00","Cannock (UK/England)",NA,"Egg","3 minutes","Flying Egg over Morrisons Cannock!!","2/20/15"
"2/6/15 19:00","North Wales (UK/Wales)",NA,"","10 minutes","Saw a strange star in the Sky. Thought I might be looking at the space station! It tracked from right to left for about 2 minutes.","2/12/15"
"2/4/15 17:30","Chennai (India)",NA,"Circle","10-20 seconds","04/02/15 around 5:30 to 6:00 pm i was talking to my friend through phone call on top of my apartment suddenly i saw a red colour light","2/6/15"
"2/3/15 01:00","Johannesburg (South Africa)",NA,"Diamond","3 hours","Captured via camera, bright yellow glowing orb.","2/12/15"
"2/1/15 10:26","Bali (Indonesia)",NA,"Light","4 minutes","Bright orange light.","2/6/15"
"1/31/15 20:14","Chennai (India)",NA,"Rectangle","2 minutes","Accidentally taken a series of photos of a bright yellow rectangular UFO zooming across the night sky while taking photos of the Moon","2/6/15"
"1/31/15 02:00","Porte les Valence (France)",NA,"Cigar","10 seconds","A big cigar shaped craft over the highway.","3/6/15"
"1/27/15 16:05","Palm City",NA,"Circle","seconds","Round metallic object in daylight.","1/30/15"
"1/26/15 19:10","Dothan",NA,"Cigar","30 seconds","Was driving down the road and observed a cigar shaped metallic bright aircraft approximately 12 stories in the sky. Very large and bri","1/30/15"
"1/24/15 23:03","Trivandrum (India)",NA,"Fireball","1 minute","Speedy, zigzag-moving, bright object.","1/26/15"
"1/24/15 21:30","Nyborg (Denmark)",NA,"Light","5 minutes","Went out for a cigarette. Saw a Big redish light, went for iPhone, two pics, went for camera 1 pic. Light was gone a couple of min. Lat","1/26/15"
"1/22/15 13:00","Shahrekord (Iran)",NA,"Diamond","5 minutes","This unknown object jumping in sky.","4/23/15"
"1/20/15","Sangli (India)",NA,"Unknown","30 seconds","((HOAX??)) 01/20/15. something very strange landed for a while near my terrace .they were in number of 3.","1/26/15"
"1/17/15 23:34","Olathe",NA,"Light","5 minutes","Incredibly fast bright blinking light in sky.","1/26/15"
"1/17/15 22:00","Los Altos (Mexico)",NA,"Cigar","3 minutes","My daughters and i were coming home about 10pm. We started opening our gate when we looked up in the sky and saw a orange light.","1/26/15"
"1/17/15 21:42","Reading",NA,"Fireball","5 seconds","I'm large white fire ball flew across sky, at a moderate speed above Rt. 95, leaving a long white tail behind.","1/26/15"
"1/17/15 21:40","Shelby",NA,"Light",">1 hour","Object would do zig zag patterns. Shoot up fast stop, do traingle pattern. Now currently stopped for 10mins. Bright white light flying","1/26/15"
"1/14/15 21:30","Vellore (India)",NA,"Disk","2 minutes","ON JAN 14TH, 201,5 AROUND 9.30PM I SAW A BIG LIGHT (STREET LIGHT SODIUM VAPOUR LAMP LIKE LIGHT) MOVING IN THE SKY.","1/26/15"
"1/11/15 00:00","Siem Reap (Cambodia)",NA,"Fireball","8 minutes","((HOAX??)) Three fireball like objects apeared in the sky for 8 minutes.","1/16/15"
"1/11/15 22:55","Siem Reap (Cambodia)",NA,"Fireball","8 minutes","((HOAX??)) We were looking at the sky, because it was beautiful night and I love watching the stars.","1/16/15"
"1/11/15 03:50","Port St. Lucie",NA,"","5 minutes","UFO, Port St. Lucie, Florida, area.","1/16/15"
"1/11/15 00:23","Jakarta (Indonesia)",NA,"Light","1 minute","I make time-lapse video for Orion Nebula, but one dot from Photos look different moving.","1/16/15"
"1/10/15 20:00","Tehran (Iran)",NA,"Other","30 seconds","I saw a cubic body with light violet color that move in the sky with rotation and also there was some cylindrical appendices in its sur","1/26/15"
"1/10/15 13:00","Mexico (volcano)",NA,"Disk","1 minute","Stationary disc watches Mexican volcano erupting!!","1/16/15"
"1/9/15 05:30","Siem Reap (Cambodia)",NA,"Fireball","1 minute","((HOAX??)) 3 fireball looking object was flying in the sky then suddenly it went down and after that i heard a bunch of dogs barking.","1/16/15"
"1/8/15 23:30","Moscow (Russia)",NA,"Formation","10 minutes","Moving stars in South-east region of Moscow, Russia.","8/6/15"
"1/8/15 23:13","Cancun (Mexico)",NA,"Circle","3 minutes","I took these pictures on my iPad, I was only taking the moon at the time, but next day saw these on the picture. 2 long cylindrical sh","1/26/15"
"1/5/15 22:00","Derby (UK/England)",NA,"","OVER A FEW MONTHS","maybe answer to my encounter last year of black alien entity","5/22/15"
"1/4/15 20:45","Tyne & Wear (UK/England)",NA,"Diamond","Ongoing","We saw a strange light in the sky. I said to her straight away that doesn't look right. ((NUFORC Note: Twinkling star?? PD))","1/7/15"
"1/4/15 02:05","Gravesend (UK/England)",NA,"Triangle","1","See something in sky and lost time.","1/7/15"
"1/2/15 11:34","Beijing (China)",NA,"Light","12 seconds","Been watching videos on Youtube. I look out the window and I see 5 moving lights, then I saw a jet (probraly Eurofighter Typhoon).","1/7/15"
"1/1/15 11:55","Rio Negro (Colombia)",NA,"Disk","seconds","Object seen on a picture of an open sky, but it wasn't there when I took the picture.","1/7/15"
"12/31/14 23:59","St. Thomas (U. S. Virgin Islands)",NA,"Triangle","5 minutes","Red triangle seen over us Virgin Islands on New Year's Eve.","1/9/15"
"12/31/14 23:30","San Jose del Cabo (Baja California)(Mexico)",NA,"Triangle","10 minutes","Two triangular lights over San Jose del Cabo New Year's eve. I was not drinking.","1/7/15"
"12/30/14 03:00","Acapulco (Mexico)",NA,"Circle","5 minutes","Large, bright circle seen descending quickly near the horizon.","1/30/15"
"12/30/14","Bluffton (Canada)",NA,"Changing","1 hour","((NUFORC Note: Source provides no information about the incident. Hoax?? PD))","1/7/15"
"12/28/14 18:00","Campo Grande (Brazil)",NA,"Fireball","15 minutes","http://g1.globo.com/mato-grosso-do-sul/noticia/2014/12/policia-de-ms-aciona-aeronautica-sobre-objeto-que-apareceu-em-sitio.html","1/7/15"
"12/28/14 17:09","UK/Scotland",NA,"Light","12 minutes","A star like light moves at high speed across the sky, with rotating colored lights.","1/7/15"
