"date","city","state","shape","duration","summary","posted"
"8/30/04 10:00","Atlantic Ocean (inflight)",NA,"Unknown","0:05","Beacon type flashes over the Atlantic (Pilot report)","9/1/04"
"8/29/04 22:30","London (UK/England)",NA,"Sphere","30 seconds","We were on a main road in London called Finchley Road, there were plenty more people driving who could have seen this object. It appear","9/1/04"
"8/27/04 22:20","Newcastle/Alwick (between) (UK/England)",NA,"Flash","20 minutes","very quick flashes and streaks seen to north during journey between newcastle and alnwick, england","9/1/04"
"8/25/04 16:00","Lagos (Nigeria)",NA,"Circle","30 sec.","strange craft crashed into beach in lagos,Nigeria.","2/22/05"
"8/24/04 22:10","Melbourne (VIC, Australia)",NA,"Light","5 min","six orange lights hovered for a few minutes","8/24/04"
"8/24/04 19:15","Cancun (Mexico)",NA,"Cigar","approx. 30sec","A huge object off the coast of Cancun, Mexico","6/9/09"
"8/23/04 23:00","Caransebes (Romania)",NA,"Fireball","60 sec","one star fly and dissapear like in movie s.f","9/9/04"
"8/22/04 13:00","Whitehaven (UK/England)",NA,"","na","My reason for entering this site is to ask rather than state that i have seen a ufo, ((NUFORC Note: Possible bird in flight. PD))","9/9/04"
"8/22/04 01:30","Lahti (Finland)",NA,"Oval","5 seconds","five red shining oval shaped objects flying fast and silently","8/24/04"
"8/20/04 22:15","Adriatic Sea (near Hvar) (Croatia)",NA,"Formation","5-7 minutes","Triangle of lights moving in a straight line across the Agean Sea almost west-to-east.","10/27/04"
"8/20/04 22:00","Stacksteads (UK/England)",NA,"Light","2 minutes","the light moved silently& slowly in a straight line & flashed over a cloud lighting it up","9/29/04"
"8/20/04 15:00","Hervey Bay (Australia)",NA,"Oval","2 min","9 UFO's appeared and disolved into nothing before my eyes","9/2/05"
"8/20/04 13:00","",NA,"Triangle","","White object appeared at a start of a target shooting in the Pacific. ((NUFORC Note: Looks like a seagull to us. PD))","3/11/06"
"8/20/04 00:32","Granada (Spain)",NA,"Unknown","35 secs","Seven star like objects flying in formation made me freeze.","9/9/04"
"8/19/04 21:15","Stafford (UK/England)",NA,"Sphere","seconds","Appeared to be a UFO","8/24/04"
"8/18/04 23:30","Bangkok (Thailand)",NA,"Light","One Hour","Houndreds of strance red lights floating accross the night sky.","11/9/04"
"8/17/04 21:30","Sydney (Australia))",NA,"Circle","","I stand there, tranfixed at this light, not being able to move. It was this wonderful glowing light.","2/14/06"
"8/15/04 22:00","Budapest (Hungary)",NA,"Sphere","15","Budapest ufo 2004","10/11/05"
"8/15/04 21:00","Al Asad (near Hit) (Iraq)",NA,"Sphere","1 minute","Amber sphere in Iraq","2/1/07"
"8/13/04 20:00","Placencia (Belize)",NA,"Chevron","15 seconds","Single, fast, randomly moving object intercepted by large, fast object","8/24/04"
"8/11/04 22:48","Kemet (Turkey)",NA,"Diamond","5 seconds","Diamon/shevron/stingray shaped silent object over Kemer, Turkey","9/9/04"
"8/10/04 03:55","Baghdad (Iraq)",NA,"Light","4 seconds","8/10/2004 0355 Extremely fast, regularly \"winking\" white light west to east direction. While west of Baghdad, Iraq.","12/12/11"
"8/10/04 00:43","Madeira (Portugal)",NA,"Oval","4min","It was really strange cause near is an aircraf and ther i can hear the airlines.","8/11/04"
"8/8/04 16:30","Melbourne (VIC, Australia)",NA,"Disk","10 sec","We were at Tullamarine airport in Melbourne waiting for a relatives flight from Queensland to arrive. I was filming aircraft taking off","8/11/04"
"8/8/04 12:00","United States",NA,"","years","I thought I saw a UFO but it was a homeland security drone.","12/14/04"
"8/7/04 15:30","Manchester (UK/England)",NA,"Oval","5:00minutes","Oval silver shaped object darts left to right and vanishes","8/11/04"
